family_id,source_family,scope,status,priority,coverage_rule,next_action
FAM-014,Project Pokémon ORAS save research,ORAS,started,critical,"Enumerate save partitions/checksums/RAM/PC/Pokémon Link/Secret Base research","Split each thread/document into source records"
FAM-015,Project Pokémon EventsGallery and event archives,Gen VI,started,critical,"Inventory all Gen VI WC6/WC6Full records, languages, regions, dates and ORAS compatibility metadata","Enumerate repository Gen VI event directories and metadata"
FAM-016,3dbrew 3DS platform documentation,Nintendo 3DS,started,critical,"Enumerate NCCH/CXI/CFA/ExeFS/RomFS/CRO/services/GPU/audio pages relevant to Gen VI","Register individual technical pages"
FAM-017,3DS container/tool implementations,Nintendo 3DS,started,critical,"Index Project_CTR, 3dstool, devkitPro 3dstools and other independent implementations","Add 3dstool/3dstools and compare format behavior"
FAM-018,3DS emulator implementations,Nintendo 3DS,started,high,"Index Azahar/Citra lineage loader, filesystem, CRO, GPU, audio and service implementations","Map relevant source modules"
FAM-019,3DS graphics/model toolchain,XY+ORAS,started,critical,"Index Ohana3DS-Rebirth, SPICA, n3ds_importer, citro3d, tex3ds and historical graphics tools","Build format crosswalk for BCH/H3D/GFModel/GFMotion/GFTexture/PICA200"
FAM-020,3DS audio research/toolchain,XY+ORAS,started,critical,"Inventory BCSAR/BCSTM/BCWAV/sequence/bank tooling, vgmstream and soundtrack metadata","Index vgmstream and locate Gen VI-specific BCSAR research"
FAM-021,Pokémon Showdown Gen VI battle implementation,Gen VI,started,high,"Index gen6 mechanics overrides, moves, abilities, items, formats and historical fixes","Create battle cross-check source map"
FAM-022,Serebii ORAS hub,ORAS,started,high,"Enumerate every ORAS hub child page including DexNav, Navs, Soaring, Mirage, Secret Base, Contest, events, patches and prerelease","Build complete page inventory rather than sampling selected pages"
FAM-023,Bulbapedia Generation VI coverage,Gen VI,started,high,"Enumerate ORAS/game/mechanic/patch/glitch/event/location/version-difference categories and trace citations","Build category coverage map"
FAM-024,The Cutting Room Floor ORAS,ORAS,access_limited,high,"Enumerate unused/debug/beta pages and revisions; use archives when live crawler is blocked","Recover via Wayback/search mirrors and register accessible evidence"
FAM-025,Internet Archive/Wayback Gen VI preservation,Gen VI,not_started,critical,"Recover deleted official pages, PGL, campaigns, events and historical regional material with timestamps","Start with JP official ORAS URLs and regional product/event pages"
FAM-026,Historical ORAS guides and walkthroughs,ORAS,not_started,medium,"Enumerate substantial guides containing contemporaneous mechanics/location/event data","Register guides with dates and treat as secondary evidence"
FAM-027,Smogon historical Gen VI research,Gen VI,not_started,medium,"Inventory mechanics research, simulator findings, VGC rules/resources and historical forum posts","Locate ORAS technical/mechanics threads distinct from Showdown code"
FAM-028,Localized community encyclopedias,Gen VI,not_started,medium,"Survey Japanese, Korean, French, German, Spanish and Italian encyclopedias as secondary localization cross-checks","Identify canonical ORAS hubs in each language"
FAM-029,Event/distribution databases,Gen VI,not_started,high,"Cross-check Serebii event database, Project Pokémon, official campaigns and regional distribution records","Create ORAS event-source reconciliation matrix"
FAM-030,Pokémon Bank/Poké Transporter/PGL official history,Gen VI,started,critical,"Enumerate ORAS compatibility, revisions, service notices, transfer restrictions, Secret Base/PGL ties and shutdown history","Recover PGL material through official pages and archives"
FAM-031,ORAS Special Demo/prerelease public evidence,ORAS,started,critical,"Inventory Special Demo regions/languages/content/differences plus trailers, screenshots and prerelease builds","Build demo/prerelease timeline and region matrix"
FAM-032,Unused/debug/internal public research,ORAS,started,high,"Collect TCRF, forum, tool and implementation evidence while separating unused content from retail features","Build unused/debug source register"
FAM-033,Academic/technical publications and developer interviews,Gen VI,not_started,medium,"Search interviews, technical articles and presentations about ORAS development, graphics, localization and networking","Build bibliography with primary/secondary distinction"
FAM-034,Source-code mirrors/forks and dead-tool preservation,Gen VI,not_started,high,"Locate archived mirrors of removed Gen VI editors/tools and record provenance/licenses","Search GitHub forks, forum attachments and web archives"
FAM-035,Ruby/Sapphire/Emerald comparison sources,ORAS,not_started,high,"Inventory primary/technical Gen III map/event/data sources required to compare ORAS reconstruction against originals","Build RSE-to-ORAS comparison-source map"
